,Round,Season,Date,Hour,HomeTeam,GuestTeam,Score,ScoreDiff,Winners
0,1,2000-2001,09/09/2000,,Real Zaragoza,Espanyol Barcelona,1:2 (0:0),,
1,1,2000-2001,09/09/2000,,Real Madrid,Valencia CF,2:1 (0:0),,
2,1,2000-2001,09/09/2000,,FC Barcelona,Málaga CF,2:1 (2:0),,
3,1,2000-2001,09/09/2000,,Deportivo La Coruña,Athletic Bilbao,2:0 (0:0),,
4,1,2000-2001,09/09/2000,,Real Sociedad,Racing Santander,2:2 (0:0),,
5,1,2000-2001,10/09/2000,,Villarreal CF,Rayo Vallecano,1:5 (0:3),,
6,1,2000-2001,10/09/2000,,UD Las Palmas,CD Alavés,0:3 (0:1),,
7,1,2000-2001,10/09/2000,,CD Numancia,Real Oviedo,1:0 (0:0),,
8,1,2000-2001,10/09/2000,,RCD Mallorca,Real Valladolid,1:1 (1:0),,
9,1,2000-2001,10/09/2000,,CA Osasuna,Celta Vigo,0:2 (0:0),,
10,2,2000-2001,16/09/2000,,Racing Santander,Deportivo La Coruña,0:3 (0:1),,
11,2,2000-2001,16/09/2000,,Athletic Bilbao,FC Barcelona,3:1 (1:1),,
12,2,2000-2001,16/09/2000,,Málaga CF,Real Madrid,3:3 (1:1),,
13,2,2000-2001,16/09/2000,,Valencia CF,RCD Mallorca,4:0 (1:0),,
14,2,2000-2001,16/09/2000,,Real Valladolid,CD Numancia,2:0 (1:0),,
15,2,2000-2001,17/09/2000,,Espanyol Barcelona,CA Osasuna,1:2 (0:0),,
16,2,2000-2001,17/09/2000,,Real Oviedo,UD Las Palmas,2:2 (0:1),,
17,2,2000-2001,17/09/2000,,Rayo Vallecano,Real Zaragoza,0:0 (0:0),,
18,2,2000-2001,17/09/2000,,Celta Vigo,Real Sociedad,4:1 (3:0),,
19,2,2000-2001,17/09/2000,,CD Alavés,Villarreal CF,0:1 (0:0),,
20,3,2000-2001,23/09/2000,,Real Sociedad,Deportivo La Coruña,1:1 (1:0),,
21,3,2000-2001,23/09/2000,,FC Barcelona,Racing Santander,3:1 (1:0),,
22,3,2000-2001,23/09/2000,,Real Madrid,Athletic Bilbao,4:1 (2:0),,
23,3,2000-2001,23/09/2000,,UD Las Palmas,Real Valladolid,1:1 (0:1),,
24,3,2000-2001,23/09/2000,,Real Zaragoza,CD Alavés,2:2 (1:2),,
25,3,2000-2001,24/09/2000,,RCD Mallorca,Málaga CF,0:1 (0:0),,
26,3,2000-2001,24/09/2000,,CA Osasuna,Rayo Vallecano,2:2 (1:1),,
27,3,2000-2001,24/09/2000,,Celta Vigo,Espanyol Barcelona,1:0 (1:0),,
28,3,2000-2001,24/09/2000,,CD Numancia,Valencia CF,0:3 (0:0),,
